timestamp,cycle,object_id,label,value,unit,in_alarm,error
2026-03-03T00:26:15.392690,3,"analog-value,2",Setpoint 2,19.0,°C,False,
2026-03-03T00:26:15.392690,3,"analog-value,3",Setpoint 3,17.0,°C,False,
2026-03-03T00:26:15.392690,3,"binary-value,0",Heater,inactive,,False,
2026-03-03T00:26:15.392690,3,"binary-value,1",Chiller,inactive,,False,
2026-03-03T00:26:15.392690,3,"multi-state-value,0",State,2,,False,
2026-03-03T00:26:15.392690,3,"multi-state-value,1",Vent Level,1,,False,
2026-03-03T00:26:17.407378,4,"analog-input,0",T Indoor,20.799999237060547,°C,False,
2026-03-03T00:26:17.407378,4,"analog-input,1",T Water,34.0,°C,False,
2026-03-03T00:26:17.407378,4,"analog-input,2",T Outdoor,12.0,°C,False,
2026-03-03T00:26:17.407378,4,"analog-value,0",T Set,21.0,°C,False,
2026-03-03T00:26:17.407378,4,"analog-value,1",Setpoint 1,21.0,°C,False,
2026-03-03T00:26:17.407378,4,"analog-value,2",Setpoint 2,19.0,°C,False,
2026-03-03T00:26:17.407378,4,"analog-value,3",Setpoint 3,17.0,°C,False,
2026-03-03T00:26:17.407378,4,"binary-value,0",Heater,active,,False,
2026-03-03T00:26:17.407378,4,"binary-value,1",Chiller,inactive,,False,
2026-03-03T00:26:17.407378,4,"multi-state-value,0",State,2,,False,
2026-03-03T00:26:17.407378,4,"multi-state-value,1",Vent Level,2,,False,
2026-03-03T00:26:19.421296,5,"analog-input,0",T Indoor,20.5,°C,False,
2026-03-03T00:26:19.421296,5,"analog-input,1",T Water,34.0,°C,False,
2026-03-03T00:26:19.421296,5,"analog-input,2",T Outdoor,12.0,°C,False,
2026-03-03T00:26:19.421296,5,"analog-value,0",T Set,21.0,°C,False,
2026-03-03T00:26:19.421296,5,"analog-value,1",Setpoint 1,21.0,°C,False,
2026-03-03T00:26:19.421296,5,"analog-value,2",Setpoint 2,19.0,°C,False,
2026-03-03T00:26:19.421296,5,"analog-value,3",Setpoint 3,17.0,°C,False,
2026-03-03T00:26:19.421296,5,"binary-value,0",Heater,active,,False,
2026-03-03T00:26:19.421296,5,"binary-value,1",Chiller,inactive,,False,
2026-03-03T00:26:19.421296,5,"multi-state-value,0",State,2,,False,
2026-03-03T00:26:19.421296,5,"multi-state-value,1",Vent Level,3,,False,
2026-03-03T00:26:21.434463,6,"analog-input,0",T Indoor,20.799999237060547,°C,False,
2026-03-03T00:26:21.434463,6,"analog-input,1",T Water,34.099998474121094,°C,False,
2026-03-03T00:26:21.434463,6,"analog-input,2",T Outdoor,12.0,°C,False,
2026-03-03T00:26:21.434463,6,"analog-value,0",T Set,21.0,°C,False,
2026-03-03T00:26:21.434463,6,"analog-value,1",Setpoint 1,21.0,°C,False,
2026-03-03T00:26:21.434463,6,"analog-value,2",Setpoint 2,19.0,°C,False,
2026-03-03T00:26:21.434463,6,"analog-value,3",Setpoint 3,17.0,°C,False,
2026-03-03T00:26:21.434463,6,"binary-value,0",Heater,active,,False,
2026-03-03T00:26:21.434463,6,"binary-value,1",Chiller,inactive,,False,
2026-03-03T00:26:21.434463,6,"multi-state-value,0",State,2,,False,
2026-03-03T00:26:21.434463,6,"multi-state-value,1",Vent Level,2,,False,
2026-03-03T00:26:23.446871,7,"analog-input,0",T Indoor,20.899999618530273,°C,False,
2026-03-03T00:26:23.446871,7,"analog-input,1",T Water,34.5,°C,False,
2026-03-03T00:26:23.446871,7,"analog-input,2",T Outdoor,12.0,°C,False,
2026-03-03T00:26:23.446871,7,"analog-value,0",T Set,21.0,°C,False,
2026-03-03T00:26:23.446871,7,"analog-value,1",Setpoint 1,21.0,°C,False,
2026-03-03T00:26:23.446871,7,"analog-value,2",Setpoint 2,19.0,°C,False,
2026-03-03T00:26:23.446871,7,"analog-value,3",Setpoint 3,17.0,°C,False,
2026-03-03T00:26:23.446871,7,"binary-value,0",Heater,active,,False,
2026-03-03T00:26:23.446871,7,"binary-value,1",Chiller,inactive,,False,
2026-03-03T00:26:23.446871,7,"multi-state-value,0",State,2,,False,
2026-03-03T00:26:23.446871,7,"multi-state-value,1",Vent Level,2,,False,
2026-03-03T00:26:25.459825,8,"analog-input,0",T Indoor,20.700000762939453,°C,False,
2026-03-03T00:26:25.459825,8,"analog-input,1",T Water,34.79999923706055,°C,False,
2026-03-03T00:26:25.459825,8,"analog-input,2",T Outdoor,12.0,°C,False,
2026-03-03T00:26:25.459825,8,"analog-value,0",T Set,21.0,°C,False,
2026-03-03T00:26:25.459825,8,"analog-value,1",Setpoint 1,21.0,°C,False,
2026-03-03T00:26:25.459825,8,"analog-value,2",Setpoint 2,19.0,°C,False,
2026-03-03T00:26:25.459825,8,"analog-value,3",Setpoint 3,17.0,°C,False,
2026-03-03T00:26:25.459825,8,"binary-value,0",Heater,active,,False,
2026-03-03T00:26:25.459825,8,"binary-value,1",Chiller,inactive,,False,
2026-03-03T00:26:25.459825,8,"multi-state-value,0",State,2,,False,
2026-03-03T00:26:25.459825,8,"multi-state-value,1",Vent Level,2,,False,
2026-03-03T00:26:27.468981,9,"analog-input,0",T Indoor,20.600000381469727,°C,False,
2026-03-03T00:26:27.468981,9,"analog-input,1",T Water,35.5,°C,False,
2026-03-03T00:26:27.468981,9,"analog-input,2",T Outdoor,12.0,°C,False,
2026-03-03T00:26:27.468981,9,"analog-value,0",T Set,21.0,°C,False,
2026-03-03T00:26:27.468981,9,"analog-value,1",Setpoint 1,21.0,°C,False,
2026-03-03T00:26:27.468981,9,"analog-value,2",Setpoint 2,19.0,°C,False,
2026-03-03T00:26:27.468981,9,"analog-value,3",Setpoint 3,17.0,°C,False,
2026-03-03T00:26:27.468981,9,"binary-value,0",Heater,active,,False,
2026-03-03T00:26:27.468981,9,"binary-value,1",Chiller,inactive,,False,
2026-03-03T00:26:27.468981,9,"multi-state-value,0",State,2,,False,
2026-03-03T00:26:27.468981,9,"multi-state-value,1",Vent Level,3,,False,
2026-03-03T00:26:29.484418,10,"analog-input,0",T Indoor,21.0,°C,False,
2026-03-03T00:26:29.484418,10,"analog-input,1",T Water,35.900001525878906,°C,False,
2026-03-03T00:26:29.484418,10,"analog-input,2",T Outdoor,12.0,°C,False,
2026-03-03T00:26:29.484418,10,"analog-value,0",T Set,21.0,°C,False,
